Run,arcasHLA,RNA2HLA,PHLAT,Optitype ,seq2HLA
ERR009159,307.8,77.4,666,4402.8,136.2
ERR009168,268.8,63.6,504,1529.4,94.8
ERR188021,631.2,300.6,2601,2528.4,573.6
ERR188023,1026,334.8,3855,1873.8,661.2
SRR13280655,454.8,1414.8,5842.8,2347.8,3814.2
SRR13280656,364.2,1029,4104,928.8,2959.8
SRR5252835,205.8,618.6,2591.4,562.8,1378.5
SRR5252837,420,540,2460,633,1923
GSM2450855,180,189.6,3328.8,1954.8,367.8
GSM2450856,505.2,193.8,3001.2,5603.4,328.8
GSM3768244,153,67.8,1096.8,4646.4,143.4
GSM3768245,186,73.2,1278,2356.2,153.6
