,seq2HLA,rna2hla,arcasHLA,HLAforest,Optitype ,PHLAT,HLAMiner,HLA-HD
SRR13280655,131931832.3,131407544.3,1879048192,3350074491,18897856102,3661459620,,
SRR13280656,115437731.8,120795955.2,1395864371,3274912563,6592774799,3650722202,,
SRR5252837,69510103.04,1696512082,123868282.9,2512555868,6045166469,3639984783,,
SRR5252835,115133644.8,115888619.5,838042910.7,555808194.6,948730593.3,3629247365,,
ERR188023,101187584,160841072.6,6077378724,4048006676,26661009490,3586297692,,
ERR188021,107730698.2,149065564.2,3758096384,3736621548,29914447217,3597035110,,
GSM2450855,91194654.72,120691097.6,1879048192,2834678415,17437567222,3532610601,,
GSM2450856,93753180.16,112805806.1,2813203579,4874787881,22086869320,3543348019,,
GSM3768244,83361792,82785075.2,1256277934,3189013217,7269232148,3564822856,,
GSM3768245,88394956.8,1438814044,110048051.2,3006477107,8332236554,3543348019,,
ERR009159,76829163.52,92348088.32,2523293286,3994319585,14441827533,3532610601,,
ERR009168,64130908.16,86633349.12,2254857830,4778151117,12229919375,3532610601,,
