Run,arcasHLA,RNA2HLA,PHLAT,Optitype ,seq2HLA
ERR009159,2.35,88.07,3.29,13.45,0.07327
ERR009168,2.1,0.08262,3.29,11.39,0.06116
ERR188021,3.5,0.14216,3.35,27.86,0.10274
ERR188023,5.66,0.15339,3.34,24.83,0.0965
SRR13280655,1.75,0.12532,3.41,17.6,0.12582
SRR13280656,1.3,0.1152,3.4,6.14,0.11009
SRR5252835,0.79922,0.11052,3.38,0.90478,0.1098
SRR5252837,1.58,0.11813,3.39,5.63,0.06629
GSM2450855,1.31,0.1151,3.29,16.24,0.08697
GSM2450856,2.62,0.10758,3.3,20.57,0.08941
GSM3768244,1.17,0.07895,3.32,6.77,0.0843
GSM3768245,1.34,0.10495,3.3,7.76,0.0795
